time,seconds_elapsed,z,y,x
1772740755960105700,0.295105712890625,0.4622650146484375,0.10926604270935059,0.30726122856140137
1772740755978878200,0.313878173828125,-0.04593944549560547,0.1879565715789795,0.5663649439811707
1772740755997650700,0.332650634765625,-0.5503673553466797,0.035904645919799805,0.6822522282600403
1772740756016423200,0.351423095703125,-1.3181757926940918,-0.3771326541900635,0.9637748003005981
1772740756035195600,0.370195556640625,-1.4696426391601562,0.4970533847808838,1.0788471698760986
1772740756053968100,0.388968017578125,-1.5227928161621094,1.2131905555725098,0.964358925819397
1772740756072740600,0.40774072265625,-0.9010248184204102,1.5143520832061768,0.9072268009185791
1772740756091513000,0.42651318359375,-0.00667572021484375,0.7264218330383301,1.4799052476882935
1772740756110285600,0.44528564453125,-0.5057449340820312,0.33139491081237793,1.5518778562545776
1772740756129057800,0.464057861328125,-1.077977180480957,0.6226601600646973,1.276353120803833
1772740756147830300,0.482830322265625,-1.6540250778198242,0.31855082511901855,1.0317509174346924
1772740756166602800,0.501602783203125,-1.1738967895507812,-0.04923367500305176,0.6190717220306396
1772740756185375200,0.520375244140625,-0.2614126205444336,0.035164833068847656,0.2612966299057007
1772740756204147700,0.539147705078125,0.3382577896118164,-0.3078436851501465,0.17485976219177246
1772740756222920200,0.557920166015625,0.6517467498779297,-0.2599811553955078,-0.042551398277282715
1772740756241692700,0.576692626953125,1.3640556335449219,0.04607963562011719,0.028560400009155273
1772740756260465200,0.595465087890625,1.8563671112060547,0.3847923278808594,0.12931859493255615
1772740756279237600,0.614237548828125,1.1977500915527344,0.18144965171813965,0.4533717632293701
1772740756298009900,0.633009765625,0.4437885284423828,-0.28814220428466797,0.5847796201705933
1772740756316782300,0.6517822265625,0.4715442657470703,-0.9692509174346924,0.6598073244094849
1772740756335554800,0.670554931640625,1.080531120300293,-1.4340839385986328,0.5340697169303894
1772740756354327300,0.689327392578125,1.7606945037841797,-1.8617764711380005,0.5966274738311768
1772740756373099800,0.708099853515625,1.3971948623657227,-2.0105457305908203,0.7623749375343323
1772740756391872300,0.726872314453125,0.18551254272460938,-1.799349308013916,0.9885975122451782
1772740756410644700,0.745644775390625,0.4291677474975586,-1.0008423328399658,0.4121171832084656
1772740756429417200,0.764417236328125,0.46179962158203125,-0.2825641632080078,0.532119870185852
1772740756448189700,0.783189697265625,0.9101066589355469,-0.27329349517822266,0.8664060235023499
1772740756466962200,0.801962158203125,1.4911956787109375,-0.745330810546875,1.266589879989624
1772740756485734400,0.820734375,1.6283235549926758,-1.0909004211425781,1.4589647054672241
1772740756504507000,0.8395068359375,1.1288490295410156,-1.2789106369018555,1.2776787281036377
1772740756523279400,0.858279296875,0.2371816635131836,-1.4367161989212036,1.0871840715408325
1772740756542051800,0.8770517578125,-0.4279651641845703,-1.415296196937561,0.9266654253005981
1772740756560824300,0.89582421875,-0.8250637054443359,-1.2185211181640625,0.8017004132270813
1772740756579596800,0.9145966796875,-1.2087392807006836,-1.0733957290649414,0.8550832271575928
1772740756598369300,0.933369384765625,-1.6372313499450684,-0.8244385719299316,0.8860431909561157
1772740756617141800,0.952141845703125,-1.8053016662597656,-0.4339790344238281,0.890212893486023
1772740756635914200,0.970914306640625,-1.7117209434509277,-0.11388206481933594,0.8369947075843811
1772740756654686700,0.989686767578125,-1.2671737670898438,0.08569455146789551,0.7380881905555725
1772740756673459000,1.008458984375,-0.5908355712890625,-0.010197639465332031,0.7987967729568481
