time,seconds_elapsed,z,y,x
1772740706757258000,0.304258056640625,-7.841856002807617,-4.233114719390869,0.38430705666542053
1772740706776030500,0.323030517578125,-7.072489261627197,-4.150539875030518,0.666095495223999
1772740706794803000,0.341802978515625,-6.8984456062316895,-3.9271469116210938,0.7282736301422119
1772740706813575700,0.36057568359375,-7.568332195281982,-4.386697769165039,0.5981264114379883
1772740706832348200,0.37934814453125,-7.491467475891113,-3.8404781818389893,-0.665493905544281
1772740706851120600,0.39812060546875,-5.375551700592041,-4.069839000701904,-2.1604628562927246
1772740706869893400,0.416893310546875,-3.616532802581787,-0.6052250862121582,-3.349041223526001
1772740706888652800,0.43565283203125,4.304646015167236,1.9929556846618652,-1.7548420429229736
1772740706907438300,0.454438232421875,15.685029983520508,2.90853214263916,1.22037935256958
1772740706926211000,0.473211181640625,24.448932647705078,-0.3975954055786133,3.129831552505493
1772740706944970500,0.491970458984375,26.843639373779297,-5.192080974578857,2.9808437824249268
1772740706963756000,0.510756103515625,24.13532257080078,-7.076211452484131,0.6171537637710571
1772740706982528800,0.52952880859375,19.02140998840332,-6.7796101570129395,-0.9603853225708008
1772740707001288200,0.5482880859375,13.229516983032227,-4.670712471008301,-1.3495756387710571
1772740707020073700,0.56707373046875,8.24068832397461,-2.8881027698516846,-1.0802435874938965
1772740707038846500,0.585846435546875,5.1011128425598145,-2.0179102420806885,-0.7597617506980896
1772740707057606000,0.60460595703125,3.1987619400024414,-2.177769899368286,-0.34467804431915283
1772740707076391400,0.623391357421875,1.8976497650146484,-2.6466052532196045,0.1717354655265808
1772740707095164200,0.6421640625,0.5627412796020508,-3.1395108699798584,0.7263371348381042
1772740707113923600,0.660923583984375,-0.9857831001281738,-3.6491587162017822,0.8960061073303223
1772740707132709000,0.679709228515625,-2.9559550285339355,-4.228097915649414,0.9187213182449341
1772740707151481900,0.69848193359375,-5.10746955871582,-4.569472789764404,0.8172587156295776
1772740707170241300,0.7172412109375,-6.209095478057861,-4.782393932342529,0.7210198640823364
1772740707189027000,0.736027099609375,-6.418397426605225,-5.037581920623779,0.7812692523002625
1772740707207799600,0.754799560546875,-6.803079128265381,-5.702548027038574,0.8255527019500732
1772740707226572000,0.773572021484375,-6.996060371398926,-6.061601638793945,0.9026810526847839
1772740707245344800,0.7923447265625,-7.156505584716797,-6.37640380859375,1.0706381797790527
1772740707264117200,0.8111171875,-7.208991050720215,-6.624950885772705,1.2639076709747314
1772740707282890000,0.829889892578125,-6.891669750213623,-6.639069080352783,1.3814408779144287
1772740707301662500,0.848662353515625,-5.6382293701171875,-6.314159393310547,1.3453495502471924
1772740707320435000,0.86743505859375,-3.907589912414551,-5.334356307983398,0.9608020186424255
1772740707339194600,0.886194580078125,-2.587306499481201,-3.6296370029449463,0.3768783509731293
1772740707357980200,0.904980224609375,-0.8967056274414062,-1.535489559173584,-0.4373077154159546
1772740707376752600,0.923752685546875,1.3206243515014648,-0.05996990203857422,-0.7722060680389404
1772740707395512300,0.94251220703125,5.057375431060791,0.9903206825256348,-0.1597287654876709
1772740707414297900,0.9612978515625,10.706098556518555,2.373241424560547,0.2905144691467285
1772740707433070300,0.9800703125,13.946478843688965,0.36330509185791016,1.041744589805603
1772740707451830000,0.998830078125,12.955015182495117,-2.3946425914764404,0.792293131351471
1772740707470615600,1.017615478515625,12.251541137695312,-4.406399726867676,0.28150323033332825
1772740707489388000,1.036387939453125,11.391470909118652,-5.506503582000732,0.13060612976551056
1772740707508160800,1.055160888671875,10.369074821472168,-5.170591354370117,0.23380351066589355
1772740707526933200,1.073933349609375,7.994448661804199,-4.528073310852051,0.3956139385700226
1772740707545706000,1.0927060546875,4.385009765625,-4.4060516357421875,0.5247006416320801
1772740707564465400,1.11146533203125,2.0678281784057617,-4.417503833770752,0.8312145471572876
1772740707583251000,1.1302509765625,1.3723878860473633,-3.9481959342956543,1.207934856414795
1772740707602023700,1.149023681640625,0.7381696701049805,-3.301316261291504,1.3163666725158691
1772740707620783000,1.167783203125,-0.7376999855041504,-3.1104321479797363,0.9423815011978149
1772740707639569000,1.18656884765625,-2.4360246658325195,-3.0908918380737305,0.29279160499572754
1772740707658341400,1.20534130859375,-3.9159369468688965,-3.537285804748535,-0.1396782547235489
1772740707677100800,1.224100830078125,-4.763031005859375,-4.102715492248535,-0.25672584772109985
1772740707695886600,1.242886474609375,-5.300565719604492,-4.6345744132995605,-0.25020819902420044
1772740707714659000,1.2616591796875,-5.821102619171143,-4.814091205596924,-0.2661479711532593
1772740707733418500,1.28041845703125,-6.362733840942383,-5.010183811187744,-0.15646441280841827
1772740707752204300,1.299204345703125,-6.473719596862793,-5.200621128082275,0.007955431938171387
1772740707770976800,1.317976806640625,-6.04103946685791,-5.354640007019043,0.34568917751312256
1772740707789736400,1.336736328125,-4.5287652015686035,-5.08062744140625,0.6027207374572754
1772740707808522000,1.35552197265625,-2.3104028701782227,-4.897817611694336,0.5340554714202881
1772740707827294500,1.37429443359375,-1.0730276107788086,-3.8852226734161377,-0.621849775314331
1772740707846054100,1.39305419921875,0.12623357772827148,-1.3977675437927246,-3.014375686645508
1772740707864839700,1.411839599609375,2.0339322090148926,1.5067505836486816,-5.042734622955322
1772740707883612400,1.4306123046875,4.6492767333984375,1.258786678314209,-3.867476224899292
1772740707902371800,1.449371826171875,9.200729370117188,0.41255617141723633,-1.5003445148468018
1772740707921157400,1.468157470703125,14.146947860717773,-0.017033100128173828,0.683338463306427
1772740707939930000,1.48693017578125,16.666669845581055,-0.8210616111755371,1.7245001792907715
1772740707958689500,1.505689453125,13.93459701538086,-3.5593302249908447,1.3543182611465454
1772740707977475000,1.52447509765625,8.389787673950195,-5.086158275604248,-0.2506738305091858
1772740707996247800,1.543247802734375,4.186007976531982,-5.162115573883057,-1.527083396911621
1772740708015007200,1.56200732421875,2.031337261199951,-5.459571838378906,-1.2173157930374146
1772740708033793000,1.58079296875,2.465203285217285,-5.680352687835693,0.10960432887077332
1772740708052565500,1.5995654296875,2.852871894836426,-5.236437797546387,1.0675710439682007
1772740708071325000,1.618324951171875,2.1118173599243164,-5.326529502868652,1.87371826171875
1772740708090110700,1.63711083984375,1.1420421600341797,-5.211989402770996,2.186039924621582
1772740708108883200,1.65588330078125,-0.27928829193115234,-4.6431403160095215,1.9794859886169434
1772740708127643000,1.674642822265625,-1.9908523559570312,-4.347087860107422,1.3472809791564941
1772740708146428400,1.693428466796875,-3.524449348449707,-4.405587673187256,0.8045747876167297
1772740708165201000,1.712200927734375,-4.673173904418945,-4.814638137817383,0.473829060792923
1772740708183960600,1.730960693359375,-5.212836265563965,-5.452516078948975,0.3712965250015259
1772740708202746000,1.74974609375,-5.372769355773926,-5.744774341583252,0.342349112033844
1772740708221518800,1.768518798828125,-5.276573181152344,-5.8833327293396,0.35544079542160034
1772740708240291300,1.787291259765625,-5.293105125427246,-5.987782955169678,0.2695178985595703
1772740708259063800,1.806063720703125,-5.73585844039917,-5.879483699798584,-0.0037869811058044434
1772740708277836500,1.82483642578125,-5.466117858886719,-5.184426307678223,-0.4408198595046997
1772740708296596000,1.843595947265625,-4.5152587890625,-3.9955432415008545,-1.2064969539642334
1772740708315381800,1.8623818359375,-2.8199639320373535,-2.1435275077819824,-2.278658866882324
1772740708334154200,1.881154296875,-1.1591901779174805,0.08126497268676758,-3.4842026233673096
1772740708352913700,1.89991357421875,-1.3398056030273438,1.6031608581542969,-3.187593698501587
1772740708371699500,1.918699462890625,0.2522578239440918,3.7081093788146973,-1.6320137977600098
1772740708390472000,1.937471923828125,6.288665294647217,4.020820617675781,1.6175005435943604
1772740708409231600,1.956231689453125,14.089099884033203,1.5595946311950684,4.119733810424805
1772740708428017200,1.97501708984375,18.409961700439453,-2.6411709785461426,4.869956970214844
1772740708446790000,1.993789794921875,17.000499725341797,-6.5352373123168945,4.220203399658203
1772740708465549300,2.01254931640625,12.394244194030762,-6.330074310302734,2.2996931076049805
1772740708484334800,2.0313349609375,8.367143630981445,-4.865567207336426,0.988296389579773
1772740708503107600,2.050107666015625,6.610293388366699,-4.792614936828613,1.447787880897522
1772740708521867000,2.068866943359375,5.356698036193848,-4.445072650909424,1.9039369821548462
1772740708540652800,2.08765283203125,4.559178352355957,-3.641139268875122,1.9264423847198486
1772740708559425300,2.10642529296875,3.713712692260742,-3.579576253890991,1.927721619606018
1772740708578184700,2.125184814453125,0.785527229309082,-3.241290330886841,1.951366901397705
1772740708596970500,2.143970458984375,-2.521944046020508,-2.5535693168640137,1.4830670356750488
1772740708615743000,2.162742919921875,-4.769506931304932,-2.5404980182647705,0.9649001955986023
1772740708634502700,2.181502685546875,-5.645089149475098,-3.2602148056030273,0.540963888168335
1772740708653288200,2.2002880859375,-6.057541370391846,-4.315106391906738,0.3150053024291992
1772740708672061000,2.21906103515625,-6.443725109100342,-4.949337005615234,0.05211132764816284
1772740708690833400,2.23783349609375,-6.614126682281494,-5.0727949142456055,-0.17949455976486206
1772740708709606000,2.25660595703125,-6.477090835571289,-4.8072919845581055,-0.4730927050113678
1772740708728378600,2.275378662109375,-6.188272476196289,-4.7247114181518555,-0.7391202449798584
1772740708747151000,2.294151123046875,-5.749411582946777,-4.466710090637207,-1.2298517227172852
